Epoch	T.Ls	T. mIoU	T. Pix	T.Ld	T.abs	T.rel	V.Ls	V. mIoU	V. Pix	V.Ld	V.abs	V.rel	Con L	Ws	Wd	
0.000000	0.685416	0.335351	0.780341	0.139161	0.139161	217.868103	0.445896	0.510689	0.853201	0.109977	0.109616	0.128165	0.791052	0.000000	0.000000	
1.000000	0.460661	0.411542	0.846840	0.050230	0.050230	78.106842	0.396614	0.532079	0.866599	0.054622	0.054582	0.071249	0.632083	0.000000	0.000000	
2.000000	0.412158	0.432240	0.861286	0.044622	0.044622	71.796417	0.362513	0.573992	0.878068	0.048234	0.048170	0.062496	0.597743	0.000000	0.000000	
3.000000	0.379991	0.449049	0.872082	0.040087	0.040087	65.134239	0.345784	0.593635	0.883271	0.039225	0.038896	0.056019	0.584801	0.000000	0.000000	
4.000000	0.364986	0.461562	0.876821	0.038098	0.038098	63.852608	0.336832	0.603371	0.885961	0.063847	0.061022	0.076711	0.580169	0.000000	0.000000	
5.000000	0.348824	0.469023	0.881144	0.040518	0.040518	78.602425	0.324636	0.610334	0.889504	0.073020	0.061407	0.076850	0.560547	0.000000	0.000000	
6.000000	0.337281	0.476223	0.885118	0.037443	0.037443	68.054337	0.316671	0.613815	0.891827	0.054924	0.054855	0.071501	0.548433	0.000000	0.000000	
7.000000	0.329707	0.480352	0.887215	0.037559	0.037559	71.147842	0.315985	0.615923	0.891690	0.046901	0.046408	0.062517	0.541561	0.000000	0.000000	
8.000000	0.320980	0.486275	0.889893	0.037387	0.037387	74.098091	0.308406	0.619640	0.894263	0.032530	0.032492	0.050341	0.534691	0.000000	0.000000	
9.000000	0.316427	0.489614	0.891487	0.038054	0.038054	69.294395	0.308809	0.621816	0.893065	0.043716	0.043690	0.057369	0.530376	0.000000	0.000000	
10.000000	0.309213	0.493149	0.893364	0.033306	0.033306	66.081779	0.298639	0.625255	0.897186	0.059225	0.059151	0.070234	0.524744	0.000000	0.000000	
11.000000	0.304603	0.496803	0.894644	0.032139	0.032139	63.096893	0.292549	0.632998	0.898843	0.036783	0.036719	0.050768	0.514679	0.000000	0.000000	
